ranking,objectid,pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_dens,pl_eqt,pl_insol,st_teff,st_lum,st_mass,st_rad,st_met,st_logg,st_age,distancia_tierra,indice_habitabilidad,orig_idx
1,3.1308,KMT-2021-BLG-0912L b,KMT-2021-BLG-0912L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.02795270081007821,0.004084697673132788,0.09124484032152941,0.05492855151786177,0.0014206215616810302,0.06132533913733864,0.024292596865033586,0.1602564102564102,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.8442516822878674,0.3515863262830584,5009
2,3.676,Kepler-1638 b,Kepler-1638,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.04963030551993479,0.007131295385137907,0.2183358679122311,0.02504740264780116,0.002735576409332425,0.01861662080954923,0.038678157019746216,0.024038461538461557,0.02924310424207491,0.013157894736842105,0.027777777777777127,0.029291900152827247,1.8458489460981657,0.351388994616549,732
3,3.22,Kepler-1040 b,Kepler-1040,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.06161003443853973,0.008981821402800275,0.2683032804692591,0.023002716717368414,0.0017423756561713915,0.022997002176501993,0.014843590961525412,0.016025641025641038,0.02339448339365993,0.013157894736842105,0.027777777777777127,0.05476311767702492,1.8528769248509256,0.3505233581193672,2334
4,3.433,Kepler-1606 b,Kepler-1606,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.061039571156701396,0.008891551840963087,0.26613078427112746,0.0352708322999649,0.00045074838562863834,0.09746348541469892,0.05801723552961933,0.0801282051282051,0.08188069187780969,0.013157894736842105,0.08333333333333302,0.04202750891492614,1.8606475427347808,0.3495712019957549,4426
5,3.18727,OGLE-2019-BLG-1053L b,OGLE-2019-BLG-1053L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.021677604709856566,0.0033399737879759813,0.034759939170106384,0.057869608322384344,0.001440285483919735,0.06132533913733864,0.024292596865033586,0.31249999999999994,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.8617561255074624,0.3494357856306412,2059
6,3.18722,KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.05704632818383309,0.008282232298562063,0.24983706278514006,0.05344473374176572,0.0014097866604129935,0.06132533913733864,0.024292596865033586,0.20833333333333331,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.8642537030259778,0.349131083934198,3812
7,3.20349,OGLE-2016-BLG-0007L b,OGLE-2016-BLG-0007L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.005134169536544982,0.0007221564946975097,0.009776232891592422,0.08829624139428256,0.001541383858120835,0.06132533913733864,0.024292596865033586,0.32852564102564097,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.865285362187023,0.349005377683121,3471
8,3.8194,Kepler-452 b,Kepler-452,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.03593918675581484,0.005167932415179053,0.14555724527482072,0.005111714826081869,0.00015543047780297884,0.005749250544125498,0.02866255004410667,0.02964743589743583,0.0643348293325648,0.2763157894736842,0.11111111111111098,0.17829852266938365,1.8708690383637905,0.34832658217315804,53
9,3.5638,Kepler-1090 b,Kepler-1090,1.7328636152629304,0.587589755749014,0.10121212121212121,0.07130791022979135,0.010584106125410374,0.3008907234412339,0.021469202269543852,0.0012823014418745743,0.12511464279358822,0.049518219447648774,0.11217948717948717,0.10527517527146962,0.05263157894736842,0.10185185185185111,0.029291900152827247,1.8735771373010157,0.3479983143724626,857
10,3.12536,KMT-2018-BLG-0029L b,KMT-2018-BLG-0029L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.09526736806700124,0.014871910312676836,0.3606343688898544,0.0656734311447523,0.0014820144106218486,0.06132533913733864,0.024292596865033586,0.11217948717948709,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.8760844741005565,0.3476949335129428,712
11,3.19964,KMT-2023-BLG-1866L b,KMT-2023-BLG-1866L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.024529921119048222,0.003678484644865439,0.06191614164675204,0.047939756471878966,0.0013637478753837746,0.06132533913733864,0.024292596865033586,0.39262820512820507,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.8773239389966194,0.34754515695883725,5926
12,3.13045,OGLE-2019-BLG-0960L b,OGLE-2019-BLG-0960L,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.022248067991694896,0.003385108568894576,0.0423636758635672,0.03339253199940298,0.001189190362541642,0.06132533913733864,0.024292596865033586,0.40064102564102555,0.027488517987550417,0.02631578947368421,0.012037037037036919,0.0789607743250127,1.8781294286733083,0.3474478909938933,5150
13,3.3902,Kepler-1549 b,Kepler-1549,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.08956273524861794,0.013833810351549167,0.34759939170106446,0.015846315960853796,0.00028599207915748075,0.12429332128728457,0.09273597068602837,0.09615384615384613,0.09357793357463966,0.02631578947368421,0.09259259259259207,0.02419765664798782,1.8794819941464298,0.34728468593755935,1398
14,3.661,Kepler-1636 b,Kepler-1636,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.12721331184994777,0.021439020936332313,0.41277427764501406,0.0035782003782573084,0.00033728413683246396,0.005201702873256403,0.08032163941100631,0.008012820512820519,0.011697241696829966,0.039473684210526314,0.009259259259259864,0.0789607743250127,1.8849024670100898,0.3466321691756876,3340
15,3.391,Kepler-1550 b,Kepler-1550,1.7328636152629304,0.5815499668372333,0.10121212121212121,0.11523358293134284,0.018911473204891033,0.3953943080599608,0.04753894788256138,0.0020283677353288725,0.05831382694755862,0.04052724435095338,0.056089743589743626,0.0643348293325648,0.013157894736842105,0.0555555555555559,0.13372389200203766,1.8859923998894395,0.3465012589909486,81
